d1,d2,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_ext_Mosek,status_nat_Hypatia,converged_ext_Hypatia,converged_ext_Mosek,converged_nat_Hypatia,iters_ext_Hypatia,iters_ext_Mosek,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_ext_Mosek,solve_time_nat_Hypatia
3,15,109,46,6,6,361,86,co,co,co,true,true,true,18,8,11,3.7212319374084473,0.022588014602661133,8.671036958694458
3,30,218,91,9,9,943,173,co,co,co,true,true,true,23,7,14,0.32064199447631836,0.07454085350036621,0.021439075469970703
10,50,1012,501,56,56,3364,946,co,co,co,true,true,true,35,9,17,3.319221019744873,0.7935500144958496,0.24887895584106445
10,100,2024,1001,112,112,9175,1890,co,co,co,true,false,true,46,10,21,26.807600021362305,9.506548881530762,1.66851806640625
15,75,2149,1126,122,122,7165,2130,co,co,co,true,false,true,37,11,23,18.652392864227295,4.757083177566528,1.6718659400939941
15,150,4298,2251,235,235,19837,4267,co,co,co,true,true,true,47,12,25,157.5999321937561,65.16853404045105,10.436470031738281
20,100,4048,2001,210,210,13402,3792,co,co,co,true,true,true,58,12,25,124.46542096138,15.77976107597351,7.912053108215332
20,200,8096,4001,392,392,36596,7610,co,co,co,true,true,true,73,13,25,1013.4028968811035,263.402263879776,43.96104598045349
25,125,7221,3126,312,312,23611,5940,co,co,co,true,false,true,83,14,24,664.3003590106964,48.7201988697052,22.161216020584106
25,250,14442,6251,643,643,62524,11859,tl,co,co,false,false,true,-1,15,28,NaN,923.0854859352112,150.19571113586426
30,150,8596,4501,448,448,28576,8554,co,co,co,true,false,true,52,12,28,682.3694789409637,93.82084703445435,64.82568502426147
30,300,17192,9001,934,934,79189,17068,,tl,co,,false,true,,-1,30,,NaN,423.09848403930664
35,175,14317,6126,636,636,46729,11616,tl,co,co,false,false,true,-1,14,26,NaN,231.4820249080658,137.15500402450562
35,350,,12251,,1231,,23271,,,co,,,true,,,32,,,1023.791417837143
40,200,16192,8001,822,822,53494,15180,,co,co,,true,true,,13,28,,390.1627140045166,294.6987040042877
40,400,,16001,,1598,,30404,,,tl,,,false,,,-1,,,NaN
45,225,26509,10126,1048,1048,85735,19204,,co,co,,true,true,,16,29,,894.0668230056763,562.4646439552307
50,250,28884,12501,1257,1257,94300,23745,,co,co,,false,true,,15,31,,1414.8758299350739,1056.8020648956299
