x,nat,ext,mosek
10,9.515459061,0.006561041,0.011341095
500,0.636574984,1.288531065,0.550603151
1000,3.352545977,11.20616698,4.463180065
1500,10.91514587,31.90668797,7.287473917
2000,21.12711906,70.57168794,14.56132817
2500,36.38573098,120.7597001,
3000,65.63505507,,
3000,,199.3250871,39.64745188
3500,96.01832104,,
3500,,286.941618,57.11502004
4000,127.7072098,,
4000,,,76.01108098
4500,183.9161868,,
4500,,581.0107219,95.45749903
5000,227.8594809,,123.8694861
5500,,1057.606703,147.506732
5500,302.08143,,
6000,,,171.4107921
6000,361.6704459,,
6500,,,
6500,453.0897779,,
7000,,,
7000,560.517236,,
7500,669.248172,,
8000,792.975594,,
8500,873.0773699,,
9000,989.5494661,,
9500,1264.379909,,
10000,1406.008645,,
10500,1627.741533,,
11000,,,
