d,dummy,n_ext,n_nat,p_ext,p_nat,q_ext,q_nat,status_ext_Hypatia,status_ext_Mosek,status_nat_Hypatia,converged_ext_Hypatia,converged_ext_Mosek,converged_nat_Hypatia,iters_ext_Hypatia,iters_ext_Mosek,iters_nat_Hypatia,solve_time_ext_Hypatia,solve_time_ext_Mosek,solve_time_nat_Hypatia
10,1,20,10,1,1,51,32,co,co,co,true,true,true,16,10,13,0.006561041,0.011341095,9.515459061
500,1,1000,500,1,1,2501,1502,co,co,co,true,true,true,49,15,36,1.288531065,0.550603151,0.636574984
1000,1,2000,1000,1,1,5001,3002,co,co,co,true,true,true,58,33,50,11.20616698,4.463180065,3.352545977
1500,1,3000,1500,1,1,7501,4502,co,co,co,true,true,true,60,26,59,31.90668797,7.287473917,10.91514587
2000,1,4000,2000,1,1,10001,6002,co,co,co,true,true,true,66,25,60,70.57168794,14.56132817,21.12711906
2500,1,5000,2500,1,1,12501,7502,co,co,co,true,false,true,67,30,63,120.7597001,29.81534696,36.38573098
3000,1,,3000,,1,,9002,,,co,,,true,,,74,,,65.63505507
3000,2,6000,,1,,15001,,co,co,,true,true,,70,25,,199.3250871,39.64745188,
3500,1,,3500,,1,,10502,,,co,,,true,,,78,,,96.01832104
3500,2,7000,,1,,17501,,co,co,,true,true,,68,26,,286.941618,57.11502004,
4000,1,,4000,,1,,12002,,,co,,,true,,,75,,,127.7072098
4000,2,8000,,1,,20001,,co,co,,false,true,,72,34,,423.532124,76.01108098,
4500,1,,4500,,1,,13502,,,co,,,true,,,83,,,183.9161868
4500,2,9000,,1,,22501,,co,co,,true,true,,72,26,,581.0107219,95.45749903,
5000,1,10000,5000,1,1,25001,15002,co,co,co,false,true,true,73,25,82,777.162986,123.8694861,227.8594809
5500,1,11000,,1,,27501,,co,co,,true,true,,79,25,,1057.606703,147.506732,
5500,2,,5500,,1,,16502,,,co,,,true,,,86,,,302.08143
6000,1,12000,,1,,30001,,co,co,,false,true,,74,25,,1282.707856,171.4107921,
6000,2,,6000,,1,,18002,,,co,,,true,,,84,,,361.6704459
6500,1,13000,,1,,32501,,co,,,false,,,77,,,1628.573207,,
6500,2,,6500,,1,,19502,,,co,,,true,,,88,,,453.0897779
7000,1,14000,,1,,35001,,tl,,,false,,,-1,,,NaN,,
7000,2,,7000,,1,,21002,,,co,,,true,,,92,,,560.517236
7500,2,,7500,,1,,22502,,,co,,,true,,,91,,,669.248172
8000,1,,8000,,1,,24002,,,co,,,true,,,93,,,792.975594
8500,1,,8500,,1,,25502,,,co,,,true,,,90,,,873.0773699
9000,1,,9000,,1,,27002,,,co,,,true,,,87,,,989.5494661
9500,1,,9500,,1,,28502,,,co,,,true,,,99,,,1264.379909
10000,1,,10000,,1,,30002,,,co,,,true,,,94,,,1406.008645
10500,1,,10500,,1,,31502,,,co,,,true,,,99,,,1627.741533
11000,1,,11000,,1,,33002,,,tl,,,false,,,-1,,,NaN
