count,mat,sparse,matsmooth,sparsesmooth
1,29.992817,59.98563401,542.0237247,876.0332572
2,185.7237406,371.4474811,656.6082938,1082.806476
3,1000.627594,1511.853723,5754.10604,18168.07572
4,1311.062062,2150.78965,6083.143522,18633.78561
5,182.7124105,286.0897982,5882.461605,18297.10398
6,602.9156626,1093.851728,6004.054159,18518.37606
7,25673.21247,85797.7937,6718.195209,19378.89201
8,2645.815006,3840.40316,2569.747965,3898.135797
9,307.6524781,467.3815377,2348.515298,3559.969643
10,790.6751766,1392.450197,2846.666237,4419.232096
11,4173.620913,5396.431453,3643.658076,5349.014164
12,4930.976249,8394.012636,3933.3593,6216.044585
13,1539.651672,2149.57239,3265.07074,4978.196608
14,2798.407173,4763.693805,3558.516033,5582.715409
15,4775.634374,6041.360537,27190.88025,16652.93827
16,5622.127033,9731.583555,33584.6027,28304.55319
17,1589.533449,2204.772753,35008.76077,28931.29181
18,3006.878135,5172.166394,37625.559,33568.84177
19,120960.2283,60114.80811,38250.00145,231283.0766
20,36744.24661,64299.43513,15887.17965,249268.7837
21,12742.91742,12865.27666,19773.01403,240004.1209
22,14673.52457,25392.52255,23895.53043,244388.9816
23,6129.090411,993743.3404,23012.1854,240983.8812
24,9146.119271,150043.344,24606.1268,45996.40172
25,56173.4185,17976.12109,23863.64775,17110.67542
26,33355.49938,34789.57998,14411.3713,16134.13807
27,10256.79946,8367.020748,23064.33129,19654.3664
28,14098.7974,18805.94283,36933.35188,41035.35125
29,5433.724016,5614.712453,39398.25304,41741.20441
30,8912.036247,13093.43433,46044.66959,51786.94056
31,76620.2993,52390.72164,63338.98929,53899.54106
32,79601.90244,115271.945,67919.5474,55952.76507
33,26423.30321,22335.20862,57657.16638,35908.26019
34,38665.80675,55843.39324,61046.18568,39417.76387
35,95383.63473,23656.43681,56620.67881,88707.84628
36,99523.08985,62656.8417,43045.96562,254334.3233
37,28289.99736,15049.42057,25555.53999,257722.4954
38,43368.3997,39882.72703,24001.70472,303039.3685
39,16538.2724,302293.8053,115635.7951,304206.4602
40,27510.06877,851788.822,193403.1916,271632.2233
41,12070.9617,79597.70212,204669.701,115373.6268
42,20520.82102,241633.7861,227730.4636,145408.1364
43,501538.8514,45718.18573,232255.7256,105610.8267
44,405375.2549,139422.6205,146639.9543,123672.2369
45,83842.61586,70495.83934,73527.59245,163434.3298
46,127374.775,229770.2505,71174.33003,397792.6376
47,43147.13084,42647.23734,51348.80996,383662.1161
48,73459.99493,136025.2368,53069.17624,489256.3168
49,39813.44558,338233.0849,105703.5843,543109.0904
50,72076.30379,1242287.378,197682.6026,800709.1532
51,28247.17467,159117.6433,209550.22,586676.035
52,51748.96224,570618.2407,250476.6266,681969.046
53,336632.0353,405289.1045,269197.834,590115.4075
54,499708.537,1626233.399,254474.0509,590302.5877
55,131414.3906,172121.7871,171818.5053,282119.5642
56,232879.2078,635582.6983,178515.7254,308982.0863
57,145354.9995,111350.0485,144595.7826,430183.3979
58,263013.1197,406225.0054,139994.0681,1656369.347
59,86430.8088,85318.28187,466615.2465,1657831.282
60,164900.4911,306434.3976,1103685.55,1980599.977
61,63279.49415,1241589.256,1153987.114,1968860.045
62,122346.4266,6242279.794,1287532.852,1920867.74
63,1896119.012,413534.6803,1307469.473,719710.1386
64,3271782.328,1699161.757,1012980.441,833593.5213
65,416408.3086,247734.737,400862.6661,529237.2029
66,731008.184,1001627.73,401085.3114,624472.6467
67,222029.5328,236491.7895,284836.8939,647936.2535
68,423673.8503,982951.5936,300959.2987,1741062.943
69,211193.4549,177380.1647,511693.304,1662765.421
70,417521.5352,723911.9558,1047783.812,2198743.838
71,149766.0964,1118945.764,1092246.308,2182332.396
72,302641.5567,5702125.236,1317770.093,2599986.803
73,1477343.877,591463.9849,1399891.09,1546470.426
74,2891645.995,2857272.251,1394880.051,1847853.581
75,639834.0157,641854.7455,904130.0032,1344493.672
76,1277385.019,3207217.797,960336.2968,1536165.865
77,713246.5451,434543.3516,769953.7482,1471103.188
78,1452288.683,2098379.761,765853.2668,5527043.833
79,437895.7536,340472.7066,1393952.085,5367622.738
80,920865.4839,1600215.711,4083342.113,6925562.293
81,325472.2758,2881904.409,4220459.968,6777524.422
82,692744.1384,20714246.58,4931566.021,7211025.497
83,4592782.772,1301274.284,4986469.616,3234375.117
84,13884845.9,8130170.485,4525882.516,3981261.762
85,1606454.757,860026.3543,1934319.852,2485406.741
86,3881002.542,5049409.783,2068108.061,3063407.605
87,967262.1129,830994.6786,1430529.121,2649024.213
88,2289847.272,5035707.51,1571421.436,8058634.932
89,927032.5742,650895.3773,1904487.952,7414055.3
90,2275395.804,3750030.678,4592886.828,10266804.75
91,693107.8434,2977492.821,4580088.061,9787372.16
92,1671723.684,27879048.27,5858602.543,11244705.8
93,3955179.856,1812809.35,5840578.455,5984923.269
94,14369026.95,14914642.63,6000044.614,8283853.399
95,2211401.967,1352867.731,3500519.325,5548442.206
96,7085680.251,10264161.01,4297474.203,7193076.741
97,1581603.246,1580135.623,3600422.692,6425305.673
98,4752510.653,13307460,4273362.507,8040362.356
99,1871400.506,1237586.661,4033788.433,5406813.534
100,6196176.36,9576040.407,6196176.36,9576040.407
