count,mat,sparse
1,542.0237247,876.0332572
2,656.6082938,1082.806476
3,5754.10604,18168.07572
4,6083.143522,18633.78561
5,5882.461605,18297.10398
6,6004.054159,18518.37606
7,6718.195209,19378.89201
8,2569.747965,3898.135797
9,2348.515298,3559.969643
10,2846.666237,4419.232096
11,3643.658076,5349.014164
12,3933.3593,6216.044585
13,3265.07074,4978.196608
14,3558.516033,5582.715409
15,27190.88025,16652.93827
16,33584.6027,28304.55319
17,40575.22161,32947.7956
18,53570.451,43195.46988
19,78852.23744,62207.12162
20,36744.24661,64299.43513
