count,sdp,soc,sparse
1,3657.057692,7367.229168,170283.2005
2,5835.866209,7628.990184,175576.2161
3,6314.95317,7694.342483,113954.7494
4,7530.367596,9296.427755,108399.7178
5,7825.453891,9374.26996,121406.9667
6,7972.672151,21426.1374,72106.93833
7,8121.12685,22120.7121,69419.65978
8,8510.849393,22457.70464,71873.12462
9,8659.179006,56028.99843,73800.35784
10,8964.398423,58292.9679,66753.70014
11,13910.33978,47590.47917,66520.85724
12,13758.40316,51252.24619,69936.96012
13,14382.85462,52599.55943,70712.57241
14,16494.05797,18534.6903,75993.2773
15,17629.26799,29291.36931,77230.12461
16,13787.95756,32241.95262,78756.60866
17,17642.00981,34966.54563,78752.89196
18,19655.13154,36724.99825,80403.89346
19,18792.45957,38060.09593,80370.49407
20,21435.56197,46393.32219,79222.99273
